titulo,ubicacion,precio,caracteristicas,area_m2,habitaciones,banos,parqueaderos,url,codigo,pagina,numero_en_pagina
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$8.500.000,"100 m²
2 hab.
2 bañ.
2 par.",100,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-lucas-2-habitaciones-2-banos-2-garajes/687-M5732851,687-M5732851,1,27
"Apartamento en Arriendo, Poblado, Medellín",Poblado | Suroriente | Medellín,$9.000.000,"120 m²
3 hab.
3 bañ.
1 par.",120,3,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-3-banos-1-garajes/20543-M5997125,20543-M5997125,1,28
"Casa en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$37.000.000,"1.085 m²
4 hab.
5 bañ.
4 par.",085,4,5,4,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-balsos-no.1-4-habitaciones-5-banos-4-garajes/687-M5462902,687-M5462902,1,29
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$7.250.000,"133 m²
3 hab.
3 bañ.
2 par.",133,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-3-banos-2-garajes/687-M5569651,687-M5569651,1,30
"Apartamento en Arriendo, Poblado, Medellín",Poblado | Suroriente | Medellín,$6.700.000,"126 m²
2 hab.
2 bañ.
1 par.",126,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-alejandria-2-habitaciones-2-banos-1-garajes/20543-M6013191,20543-M6013191,1,31
"Apartamento en Arriendo, Calasanz, Medellín",Calasanz | Medellín,$2.800.000,"54 m²
2 hab.
2 bañ.
1 par.",54,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-calasanz-2-habitaciones-2-banos-1-garajes/19795-M5691390,19795-M5691390,1,32
"Casa en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$60.000.000,"1.200 m²
4 hab.
5 bañ.
4 par.",200,4,5,4,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-balsos-no.2-4-habitaciones-5-banos-4-garajes/687-M3828456,687-M3828456,1,33
"Apartamento en Arriendo, El Poblado, Medellín",El Poblado | Medellín,$22.000.000,"260 m²
3 hab.
4 bañ.
2 par.",260,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-3-habitaciones-4-banos-2-garajes/20765-M6015789,20765-M6015789,1,34
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$5.200.000,"88 m²
1 hab.
3 bañ.
2 par.",88,1,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-1-habitaciones-3-banos-2-garajes/687-M5732961,687-M5732961,1,35
"Casa en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$18.000.000,"432 m²
3 hab.
4 bañ.
3 par.",432,3,4,3,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-tesoro-3-habitaciones-4-banos-3-garajes/687-M5462930,687-M5462930,1,36
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$6.500.000,"134 m²
3 hab.
3 bañ.
2 par.",134,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-3-banos-2-garajes/687-M5680210,687-M5680210,1,37
"Apartamento en Arriendo, Envigado, Medellín",Envigado | Medellín,$6.500.000,"135 m²
3 hab.
3 bañ.
2 par.",135,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-sebastian-3-habitaciones-3-banos-2-garajes/20543-M6013210,20543-M6013210,1,38
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$4.700.000,"116 m²
3 hab.
3 bañ.
2 par.",116,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-florida-3-habitaciones-3-banos-2-garajes/687-M5511812,687-M5511812,1,39
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$8.400.000,"340 m²
3 hab.
4 bañ.
3 par.",340,3,4,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-diamante-no.2-3-habitaciones-4-banos-3-garajes/687-M5067829,687-M5067829,1,40
"Apartaestudio en Arriendo, Poblado, Medellín",Poblado | Suroriente | Medellín,$6.000.000,"64 m²
1 hab.
2 bañ.
1 par.",64,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-medellin-los-balsos-no.1-1-habitaciones-2-banos-1-garajes/20543-M6013100,20543-M6013100,1,41
"Apartamento en Arriendo, Medellin, Medellín",Medellin | Medellín,$5.250.000,"128 m²
3 hab.
4 bañ.
2 par.",128,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-medellin-3-habitaciones-4-banos-2-garajes/11813-M5777511,11813-M5777511,1,42
"Casa en Arriendo, Santa Fe, Medellín",Santa Fe | Medellín,$2.000.000,"120 m²
3 hab.
2 bañ.",120,3,2,,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-santa-fe-3-habitaciones-2-banos/17698-M6062834,17698-M6062834,1,43
"Oficina en Arriendo, Guayabal, Medellín",Guayabal | Suroccidente | Medellín,$93.798.600,"1.359 m²
5 bañ.
4 par.",359,,5,4,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-shellmar-5-banos-4-garajes/17698-M5774426,17698-M5774426,1,44
"Oficina en Arriendo, Lemont, Medellín",Lemont | Medellín,$5.500.000,"59,22 m²
1 bañ.
1 par.",22,,1,1,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-lemont-1-banos-1-garajes/175-M5769219,175-M5769219,1,45
"Local Comercial en Arriendo, Guayabal, Medellín",Guayabal | Suroccidente | Medellín,$16.357.000,"200 m²
2 bañ.
3 par.",200,,2,3,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-shellmar-2-banos-3-garajes/17698-M5817859,17698-M5817859,1,46
"Apartamento en Arriendo, Poblado, Medellín",Poblado | Medellín,$7.500.000,"163 m²
3 hab.
3 bañ.
2 par.",163,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-3-habitaciones-3-banos-2-garajes/19474-M5962398,19474-M5962398,1,47
"Oficina en Arriendo, Laureles, Medellín",Laureles | Medellín,$2.250.000,"33 m²
1 bañ.
1 par.",33,,1,1,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-laureles-1-banos-1-garajes/17698-M6062937,17698-M6062937,1,48
"Apartamento en Arriendo, Medellin, Medellín",Medellin | Medellín,$3.400.000,"85 m²
3 hab.
2 bañ.",85,3,2,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-medellin-3-habitaciones-2-banos/11813-M5965769,11813-M5965769,1,49
"Apartamento en Arriendo, CALASANZ PARTE ALTA, Medellín",CALASANZ PARTE ALTA | Noroccidente | Medellín,$3.300.000,"100 m²
3 hab.
2 bañ.
2 par.",100,3,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-alcazares-3-habitaciones-2-banos-2-garajes/16115-M6060698,16115-M6060698,1,50
"Oficina en Arriendo, Laureles, Medellín",Laureles | Noroccidente | Medellín,$3.500.000,"70 m²
1 bañ.
1 par.",70,,1,1,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-lorena-1-banos-1-garajes/17698-M5825127,17698-M5825127,1,51
"Apartamento en Arriendo, Medellin, Medellín",Medellin | Medellín,$870.000,"40 m²
1 hab.
1 bañ.",40,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-medellin-1-habitaciones-1-banos/11813-M6062222,11813-M6062222,1,52
"Apartamento en Arriendo, EL POBLADO EL TESORO, Medellín",EL POBLADO EL TESORO | Suroriente | Medellín,$39.900.000,"700 m²
4 hab.
5 bañ.
4 par.",700,4,5,4,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-4-habitaciones-5-banos-4-garajes/17556-M5186602,17556-M5186602,1,53
"Apartamento en Arriendo, LOS GONZALEZ, Medellín",LOS GONZALEZ | Suroriente | Medellín,$4.000.000,"68 m²
1 hab.
2 bañ.
1 par.",68,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no1-1-habitaciones-2-banos-1-garajes/16981-M6070684,16981-M6070684,1,54
"Apartamento en Arriendo, LOMA DEL INDIO, Medellín",LOMA DEL INDIO | Nororiente | Medellín,$2.800.000,"95 m²
2 hab.
2 bañ.
1 par.",95,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-asomadera-no2-2-habitaciones-2-banos-1-garajes/16174-M6070462,16174-M6070462,1,55
"Apartamento en Arriendo, LOS COLORES, Medellín",LOS COLORES | Noroccidente | Medellín,$2.750.000,"67 m²
2 hab.
2 bañ.
1 par.",67,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-cuarta-brigada-2-habitaciones-2-banos-1-garajes/16174-M6070112,16174-M6070112,1,56
"Apartamento en Arriendo, VILLA GRANDE, Medellín",VILLA GRANDE | Otros | Medellín,$3.500.000,"80 m²
3 hab.
2 bañ.
1 par.",80,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-villa-grande-3-habitaciones-2-banos-1-garajes/16174-M6070634,16174-M6070634,1,57
"Apartamento en Arriendo, LOMA DE LOS GONZALEZ, Medellín",LOMA DE LOS GONZALEZ | Suroriente | Medellín,$4.200.000,"90 m²
3 hab.
2 bañ.
1 par.",90,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-naranjos-3-habitaciones-2-banos-1-garajes/16981-M6069448,16981-M6069448,1,58
"Apartamento en Arriendo, El Poblado, Medellín",El Poblado | Medellín,$6.000.000,"170 m²
4 hab.
4 bañ.
2 par.",170,4,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-4-habitaciones-4-banos-2-garajes/14059-M6012487,14059-M6012487,1,59
"Apartamento en Arriendo, Lalinde, Medellín",Lalinde | Medellín,$8.700.000,"121 m²
2 hab.
3 bañ.
1 par.",121,2,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-lalinde-2-habitaciones-3-banos-1-garajes/847-M6012249,847-M6012249,1,60
"Apartamento en Arriendo, El Poblado, Medellín",El Poblado | Medellín,$9.500.000,"170 m²
4 hab.
4 bañ.
2 par.",170,4,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-4-habitaciones-4-banos-2-garajes/14059-M6043504,14059-M6043504,1,61
"Apartamento en Arriendo, Poblado, Medellín",Poblado | Medellín,$14.600.000,"135 m²
3 hab.
4 bañ.
2 par.",135,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-3-habitaciones-4-banos-2-garajes/16120-M6015246,16120-M6015246,1,62
"Casa en Arriendo, Los Balsos, Medellín",Los Balsos | Medellín,$60.000.000,"500 m²
5 hab.
5 bañ.
4 par.",500,5,5,4,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-balsos-5-habitaciones-5-banos-4-garajes/16958-M4884657,16958-M4884657,1,63
"Apartamento en Arriendo, Los Balsos, Medellín",Los Balsos | Suroriente | Medellín,$10.200.000,"125 m²
3 hab.
3 bañ.
2 par.",125,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-3-banos-2-garajes/2398-M5553763,2398-M5553763,1,64
"Apartamento en Arriendo, BELEN LOMA DE LOS BERNAL Nororiente, Medellín",BELEN LOMA DE LOS BERNAL Nororiente | Suroccidente | Medellín,$3.800.000,"100 m²
3 hab.
2 bañ.
1 par.",100,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-de-los-bernal-3-habitaciones-2-banos-1-garajes/MC5999951,MC5999951,1,65
"Apartamento en Arriendo, LAURELES Nororiente, Medellín",LAURELES Nororiente | Noroccidente | Medellín,$6.000.000,"106 m²
3 hab.
4 bañ.
1 par.",106,3,4,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-lorena-3-habitaciones-4-banos-1-garajes/MC5943186,MC5943186,1,66
"Oficina en Arriendo, LA CANDELARIA Nororiente, Medellín",LA CANDELARIA Nororiente | Nororiente | Medellín,$1.150.000,"4 m²
1 bañ.",4,,1,,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-la-candelaria-1-banos/MC5850725,MC5850725,1,67
"Apartamento en Arriendo, EL POBLADO SANTA MARIA DE LOS ANGELES Suroriente, Medellín",EL POBLADO SANTA MARIA DE LOS ANGELES Suroriente | Suroriente | Medellín,$3.000.000,"60 m²
2 hab.
2 bañ.
1 par.",60,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-2-habitaciones-2-banos-1-garajes/MC6028170,MC6028170,1,68
"Apartamento en Arriendo, El Poblado, Medellín",El Poblado | Medellín,$15.000.000,"270 m²
4 hab.
5 bañ.
2 par.",270,4,5,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-na-4-habitaciones-5-banos-2-garajes/19797-M6051464,19797-M6051464,2,1
"Apartamento en Arriendo, Simon Bolivar, Medellín",Simon Bolivar | Medellín,$1.750.000,"65 m²
2 hab.
1 bañ.",65,2,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-simon-bolivar-2-habitaciones-1-banos/17143-M6013510,17143-M6013510,2,2
"Apartamento en Arriendo, El Poblado, Medellín",El Poblado | Suroriente | Medellín,$4.500.000,"63 m²
3 hab.
3 bañ.",63,3,3,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-colombia-3-habitaciones-3-banos/2895-M5463691,2895-M5463691,2,3
"Apartamento en Arriendo, La Linde, Medellín",La Linde | Medellín,$3.600.000,"70 m²
3 hab.
2 bañ.
1 par.",70,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-linde-3-habitaciones-2-banos-1-garajes/11166-M6011360,11166-M6011360,2,4
"Local Comercial en Arriendo, Pedregal, Medellín",Pedregal | Medellín,$1.400.000,"20 m²
1 bañ.",20,,1,,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-pedregal-1-banos/11166-M6064739,11166-M6064739,2,5
"Apartamento en Arriendo, Ciudad Del Rio, Medellín",Ciudad Del Rio | Medellín,$3.800.000,"80 m²
3 hab.
2 bañ.
1 par.",80,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-ciudad-del-rio-3-habitaciones-2-banos-1-garajes/11166-M6064745,11166-M6064745,2,6
"Apartamento en Arriendo, Los Balsos, Medellín",Los Balsos | Medellín,$4.800.000,"117 m²
3 hab.
2 bañ.
1 par.",117,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-3-habitaciones-2-banos-1-garajes/19115-M6065203,19115-M6065203,2,7
"Apartamento en Arriendo, Castropol, Medellín",Castropol | Medellín,$7.300.000,"85 m²
1 hab.
2 bañ.
1 par.",85,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-castropol-1-habitaciones-2-banos-1-garajes/4660-M6040618,4660-M6040618,2,8
"Apartamento en Arriendo, La Almeria, Medellín",La Almeria | Medellín,$2.800.000,"150 m²
3 hab.
3 bañ.
2 par.",150,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-almeria-3-habitaciones-3-banos-2-garajes/11166-M6065385,11166-M6065385,2,9
"Casa en Arriendo, El Poblado, Medellín",El Poblado | Medellín,$16.000.000,"225 m²
4 hab.
5 bañ.
2 par.",225,4,5,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-poblado-4-habitaciones-5-banos-2-garajes/20775-M6029072,20775-M6029072,2,10
"Apartamento en Arriendo, El Poblado, Medellín",El Poblado | Medellín,$9.500.000,"105 m²
2 hab.
2 bañ.
2 par.",105,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-2-habitaciones-2-banos-2-garajes/20775-M6006894,20775-M6006894,2,11
"Apartamento en Arriendo, El Poblado, Medellín",El Poblado | Medellín,$12.500.000,"215 m²
3 hab.
3 bañ.
1 par.",215,3,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-3-habitaciones-3-banos-1-garajes/20775-M6001607,20775-M6001607,2,12
"Apartamento en Arriendo, Alto De Las Palmas, Medellín",Alto De Las Palmas | Medellín,$10.500.000,"164 m²
4 hab.
4 bañ.",164,4,4,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-alto-de-las-palmas-4-habitaciones-4-banos/20775-M6001604,20775-M6001604,2,13
"Apartamento en Arriendo, Florida Nueva, Medellín",Florida Nueva | Noroccidente | Medellín,$2.200.000,"90 m²
3 hab.
3 bañ.",90,3,3,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-naranjal-3-habitaciones-3-banos/13934-M6038782,13934-M6038782,2,14
"Oficina en Arriendo, Poblado, Medellín",Poblado | Medellín,$3.200.000,"44 m²
1 bañ.
1 par.",44,,1,1,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-poblado-1-banos-1-garajes/19115-M6008127,19115-M6008127,2,15
"Local Comercial en Arriendo, Centro, Medellín",Centro | Nororiente | Medellín,$11.000.000,"100 m²
1 bañ.",100,,1,,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-la-candelaria-1-banos/19115-M5595884,19115-M5595884,2,16
"Casa en Arriendo, ROBLEDO LA CAMPIÑA, Medellín",ROBLEDO LA CAMPIÑA | Noroccidente | Medellín,$1.200.000,"100 m²
2 hab.
1 bañ.
1 par.",100,2,1,1,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-cucaracho-2-habitaciones-1-banos-1-garajes/18296-M6054319,18296-M6054319,2,17
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Otros | Medellín,$5.200.000,"105 m²
1 hab.
2 bañ.
2 par.",105,1,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-altos-del-poblado-1-habitaciones-2-banos-2-garajes/687-M5962360,687-M5962360,2,18
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$3.850.000,"87 m²
3 hab.
2 bañ.
1 par.",87,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-simesa-3-habitaciones-2-banos-1-garajes/687-M5155253,687-M5155253,2,19
"Local Comercial en Arriendo, Laureles, Medellín",Laureles | Medellín,$7.900.000,"120 m²
3 bañ.
1 par.",120,,3,1,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-laureles-3-banos-1-garajes/19795-M5744592,19795-M5744592,2,20
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$10.500.000,"158 m²
2 hab.
3 bañ.
2 par.",158,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-lucas-2-habitaciones-3-banos-2-garajes/687-M5730433,687-M5730433,2,21
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$7.000.000,"105 m²
2 hab.
3 bañ.
2 par.",105,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-2-habitaciones-3-banos-2-garajes/687-M5565263,687-M5565263,2,22
